INDEX,COMMIT_ID,BUILD_SYSTEM,BUILD_STATUS,ERROR,ACTION
0,94159b47,NOT_FOUND,FAIL,No build system detected,-
1,46ad7513,Maven,SUCCESS,,
2,e8da4c14,Maven,SUCCESS,,
3,ecdd3287,Maven,SUCCESS,,
4,de0d5fa0,Maven,SUCCESS,,
5,f73705a9,Maven,SUCCESS,,
6,f41ef7d4,Maven,SUCCESS,,
7,0150eddb,Maven,SUCCESS,,
8,31f08d09,Maven,FAIL,ArtifactResolutionException,Resolution
9,dd98baa3,Maven,FAIL,ArtifactResolutionException,Resolution
10,fa13e91d,Maven,FAIL,ArtifactResolutionException,Resolution
11,ffd54fcd,Maven,FAIL,ArtifactResolutionException,Resolution
12,68601d62,Maven,SUCCESS,,
13,af642afa,Maven,SUCCESS,,
14,a9411b9b,Maven,SUCCESS,,
15,1f62c07c,Maven,SUCCESS,,
16,a7b29554,Maven,SUCCESS,,
17,de6be3b1,Maven,FAIL,ArtifactResolutionException,Resolution
18,399d3be8,Maven,FAIL,ArtifactResolutionException,Resolution
19,69205264,Maven,FAIL,ArtifactResolutionException,Resolution
20,8522b826,Maven,FAIL,ArtifactResolutionException,Resolution
21,2e61c041,Maven,FAIL,ArtifactResolutionException,Resolution
22,c513e64d,Maven,FAIL,ArtifactResolutionException,Resolution
23,49128457,Maven,FAIL,ArtifactResolutionException,Resolution
24,b1257ccb,Maven,FAIL,ArtifactResolutionException,Resolution
25,66c12dab,Maven,FAIL,ArtifactResolutionException,Resolution
26,bbafe5db,Maven,FAIL,ArtifactResolutionException,Resolution
27,c22342e4,Maven,FAIL,ArtifactResolutionException,Resolution
28,1c5260cc,Maven,SUCCESS,,
29,25b3ba31,Maven,SUCCESS,,
30,26b6a071,Maven,SUCCESS,,
31,50cccdef,Maven,SUCCESS,,
32,bccd6e8c,Maven,SUCCESS,,
33,65f6bb1b,Maven,SUCCESS,,
34,36164b80,Maven,SUCCESS,,
35,625c5682,Maven,SUCCESS,,
36,33815fdf,Maven,SUCCESS,,
37,20b96f91,Maven,SUCCESS,,
38,dfaca15c,Maven,SUCCESS,,
39,c3d9180b,Maven,SUCCESS,,
40,00579232,Maven,SUCCESS,,
41,a684ae91,Maven,SUCCESS,,
42,5f682d65,Maven,FAIL,MojoFailureException,Other
43,f810b6e7,Maven,FAIL,MojoFailureException,Other
44,4168daa8,Maven,FAIL,MojoFailureException,Other
